FIRM,ESTAB,EMP,FIRMDEATH_FIRMS,ESTABS_ENTRY,ESTABS_EXIT,JOB_CREATION,JOB_DESTRUCTION,NET_JOB_CREATION,YEAR,state,STARTUP_RATE,EXIT_RATE,JOB_CREATION_RATE,JOB_DESTRUCTION_RATE,FIRM_DEATH_RATE,STATE_NAME
54680,65572,1028244,5237,10267,7502,212385,133673,78712,1978,1,15.66,11.44,20.66,13.0,9.58,Alabama
7127,8438,107835,827,1920,1266,35143,35629,-486,1978,2,22.75,15.0,32.59,33.04,11.6,Alaska
40660,48980,705343,4302,9724,6153,192508,103188,89320,1978,4,19.85,12.56,27.29,14.63,10.58,Arizona
36580,41940,580104,3854,6971,5121,116283,69225,47058,1978,5,16.62,12.21,20.05,11.93,10.54,Arkansas
388398,467513,7362671,37517,82149,54446,1728546,1034639,693907,1978,6,17.57,11.65,23.48,14.05,9.66,California
56022,65359,926756,5720,12646,8060,234318,123401,110917,1978,8,19.35,12.33,25.28,13.32,10.21,Colorado
56335,64264,1177234,3966,7846,5678,196123,139097,57026,1978,9,12.21,8.84,16.66,11.82,7.04,Connecticut
9914,11486,219966,814,1484,1184,36658,29063,7595,1978,10,12.92,10.31,16.67,13.21,8.21,Delaware
13401,15349,316839,1117,2040,1794,66220,44549,21671,1978,11,13.29,11.69,20.9,14.06,8.34,District of Columbia
165147,197194,2663064,17695,35787,24710,648017,405242,242775,1978,12,18.15,12.53,24.33,15.22,10.71,Florida
82160,100269,1643370,8043,15721,11774,348448,205364,143084,1978,13,15.68,11.74,21.2,12.5,9.79,Georgia
15767,18947,281371,1319,3043,2053,61369,41008,20361,1978,15,16.06,10.84,21.81,14.57,8.37,Hawaii
17468,20226,240115,1666,3684,2348,58713,38593,20120,1978,16,18.21,11.61,24.45,16.07,9.54,Idaho
179188,209775,4061446,14962,26975,21814,704536,505506,199030,1978,17,12.86,10.4,17.35,12.45,8.35,Illinois
81468,98010,1792181,6680,12767,9840,301607,196727,104880,1978,18,13.03,10.04,16.83,10.98,8.2,Indiana
55872,65423,876782,4690,8542,6549,160540,102902,57638,1978,19,13.06,10.01,18.31,11.74,8.39,Iowa
46140,53879,714537,4007,7427,5664,140255,98081,42174,1978,20,13.78,10.51,19.63,13.73,8.68,Kansas
51487,60277,921493,4774,8691,6802,181581,119577,62004,1978,21,14.42,11.28,19.71,12.98,9.27,Kentucky
61238,72771,1174001,5709,11081,8027,281181,149967,131214,1978,22,15.23,11.03,23.95,12.77,9.32,Louisiana
19833,22647,314212,1651,3346,2337,58387,34367,24020,1978,23,14.77,10.32,18.58,10.94,8.32,Maine
59514,70978,1193806,4758,9373,7256,228262,155081,73181,1978,24,13.21,10.22,19.12,12.99,7.99,Maryland
96003,111288,2073579,6986,13071,10545,386719,234182,152537,1978,25,11.75,9.48,18.65,11.29,7.28,Massachusetts
127352,152301,2960760,10383,20481,15509,545085,315163,229922,1978,26,13.45,10.18,18.41,10.64,8.15,Michigan
67986,80067,1376603,5318,11079,7691,290722,151107,139615,1978,27,13.84,9.61,21.12,10.98,7.82,Minnesota
35908,42062,608707,3512,6456,5019,124524,76917,47607,1978,28,15.35,11.93,20.46,12.64,9.78,Mississippi
