FIRM,ESTAB,EMP,FIRMDEATH_FIRMS,ESTABS_ENTRY,ESTABS_EXIT,JOB_CREATION,JOB_DESTRUCTION,NET_JOB_CREATION,YEAR,state
54680,65572,1028244,5237,10267,7502,212385,133673,78712,1978,01
56228,67501,1088895,5572,9483,7685,215875,158362,57513,1979,01
67517,91824,1600965,4517,7429,7051,190219,184135,6084,2014,01
68371,94546,1781932,4636,7307,7395,203807,184549,19258,2020,01
12850,15628,213687,1042,2131,1844,39775,37983,1792,2002,02
13824,17719,264091,947,1763,1588,37109,36397,712,2014,02
14451,18396,251083,966,1976,1689,28388,41291,-12903,2021,02
55902,67287,1082002,6318,8517,8731,168599,174977,-6378,1980,01
55370,67099,1070067,6269,8309,8490,167433,176020,-8587,1981,01
53714,65802,1044027,6600,7771,9131,157072,188371,-31299,1982,01
53814,65471,1008620,5579,8360,8714,162809,200970,-38161,1983,01
57420,69650,1099112,4928,10803,6647,214952,125009,89943,1984,01
58435,70929,1163406,6164,9895,8605,203575,167516,36059,1985,01
59638,72877,1214885,6059,10467,8507,228960,176107,52853,1986,01
60936,74690,1203369,6165,10756,8948,221312,204056,17256,1987,01
62232,76602,1233903,6003,10497,8697,216312,187945,28367,1988,01
63369,78414,1303017,6194,10530,8755,238253,167999,70254,1989,01
64305,79776,1356147,6319,9986,8628,225819,175537,50282,1990,01
64055,80297,1347991,6313,9762,9169,208487,221975,-13488,1991,01
64662,81106,1362054,5785,9465,8606,212274,204645,7629,1992,01
66336,82762,1415067,5365,9599,7941,224650,171029,53621,1993,01
68215,84952,1450972,5722,10342,8238,220244,191363,28881,1994,01
70164,87473,1517425,5771,10643,8116,247373,175859,71514,1995,01
71049,89037,1525167,6274,10519,8637,230036,212058,17978,1996,01
71664,90071,1550255,6656,10773,9760,265324,244521,20803,1997,01
72228,91138,1605798,6458,10110,9369,247085,220509,26576,1998,01
72231,91525,1618074,6271,9670,9290,248234,236881,11353,1999,01
